"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Sending love and good vibes to everyone in this traveling, cold, flu, busy, hectic, working week! Keep up the great work!!! <U+0001F98B><U+0001F41D><U+0001F419>",FALSE,0,NA,2019-03-07 16:05:58,FALSE,NA,"1103688247547518977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doranberger",0,FALSE,FALSE,NA,NA
"2","@Jaclynhill Scrunchies, harrassing phone calls and the flu? Girl, you need to get yourself together.",FALSE,0,"Jaclynhill",2019-03-07 16:05:43,FALSE,"1103681153834369025","1103688184834080768","369238299","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nichole_156",0,FALSE,FALSE,NA,NA
"3","Finally starting to get over this cold/flu",FALSE,1,"Zilohx",2019-03-07 16:05:40,FALSE,"1102746930764042241","1103688172934963203","3118472372","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zilohx",0,FALSE,FALSE,NA,NA
"4","Bad flu",FALSE,1,NA,2019-03-07 16:05:40,FALSE,NA,"1103688172217655302",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heighokpeitok",0,FALSE,FALSE,NA,NA
"5","I've been in bed since 1pm yesterday. <U+0001F927><U+0001F912><U+0001F915> #flu https://t.co/plWq1CiH0n",FALSE,0,NA,2019-03-07 16:05:19,FALSE,NA,"1103688083617263617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brittastic85",0,FALSE,FALSE,NA,NA
"7","@BTS_twt @TXT_members Is he talking about the flu??",FALSE,0,"BTS_twt",2019-03-07 16:05:12,FALSE,"1103656228297687042","1103688054437543939","335141638","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MinzYoonz",0,FALSE,FALSE,NA,NA
"8","The flu is a contagious respiratory illness that can cause mild to severe illness. Serious outcomes can result in h… https://t.co/KW6MFl1l5n",FALSE,0,NA,2019-03-07 16:05:11,TRUE,NA,"1103688048762605570",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","TulsaHealthDept",0,FALSE,FALSE,NA,NA
"9","Little went back to school today after being home all week because of the flu.",FALSE,0,NA,2019-03-07 16:05:03,FALSE,NA,"1103688018764988416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rahnnnstaaapp",0,FALSE,FALSE,NA,NA
"10","Damn this flu<U+0001F62D>",FALSE,0,NA,2019-03-07 16:05:00,FALSE,NA,"1103688004428857344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iam_Yollz",0,FALSE,FALSE,NA,NA
"11","I've lost 1.3 kg since Sunday. That's not good. #flu",FALSE,0,NA,2019-03-07 16:04:57,FALSE,NA,"1103687992491868162",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrownKnowser",0,FALSE,FALSE,NA,NA
"12","TMI but you know how when your flu is resolving so instead of having runny nose your mucus thickens and once you bl… https://t.co/70AZB1TBTu",FALSE,0,NA,2019-03-07 16:04:56,TRUE,NA,"1103687987483729920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nurulnabe",0,FALSE,FALSE,NA,NA
"13","@Jaclynhill Me too I’ve been sick with the flu since last Friday <U+2639><U+FE0F><U+2639><U+FE0F>",FALSE,0,"Jaclynhill",2019-03-07 16:04:53,FALSE,"1103681153834369025","1103687976599674880","369238299","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nizvett",0,FALSE,FALSE,NA,NA
"16","@ItsJaylynBItch_ noooo flu for us https://t.co/vZ7JQ5gFPK",FALSE,0,"ItsJaylynBItch_",2019-03-07 16:04:32,FALSE,"1103682374922059776","1103687886019399680","135322426","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lexajyo",0,FALSE,FALSE,NA,NA
"17","Hallelujah, no flu. But still feeling gross.. bleh.",FALSE,0,NA,2019-03-07 16:04:31,FALSE,NA,"1103687883435716608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RestlessSeasXIV",0,FALSE,FALSE,NA,NA
"18","@_Kenziepuff Whenever the wife gets sick I start eating oranges and take some immune boost supplements. I went thro… https://t.co/rD55uGTE9h",FALSE,0,"_Kenziepuff",2019-03-07 16:04:21,TRUE,"1103685648245030912","1103687840800690176","33274340","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TTBL22",0,FALSE,FALSE,NA,NA
"21","I'm still recovering from this flu so I'll pass okwamanje https://t.co/vePaGLjk5I",FALSE,0,NA,2019-03-07 16:04:06,FALSE,NA,"1103687778028736513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_BruceNzuza",0,FALSE,FALSE,NA,NA
"23","@terrymc13 @MickeyRyan1045 Pretty happy about this. Flu is that dude for me too https://t.co/5QiYKU7JpW",FALSE,2,"terrymc13",2019-03-07 16:03:58,FALSE,"1103682617751289856","1103687744159731715","129605773","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRealPres10",0,FALSE,FALSE,NA,NA
"26","@Randygandalf95 @dexbonus My friend is a fan and big community member of the Critical Role show
And she goes to con… https://t.co/Ei0L6FeQ8e",FALSE,0,"Mobius___Strip",2019-03-07 16:03:52,TRUE,"1103687136375644167","1103687718616346624","3198464815","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mobius___Strip",0,FALSE,FALSE,NA,NA
"29","@ithurtstopoop Delete this, it's Thursday. Today is for ps3, not the flu",FALSE,2,"ithurtstopoop",2019-03-07 16:03:35,FALSE,"1103633672647905280","1103687650060451845","4804100615","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MoeGrantHarris",0,FALSE,FALSE,NA,NA
"30","This Is the Truth About Vaccines https://t.co/Qj0a7dTsLN",FALSE,0,NA,2019-03-07 16:03:35,FALSE,NA,"1103687646906331137",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joimbow",0,FALSE,FALSE,NA,NA
"31","struggling to even do 30 minutes of work today, so someone please make this stomach flu disappear at least before I see Robyn tomorrow <U+0001F637>",FALSE,0,NA,2019-03-07 16:03:33,FALSE,NA,"1103687641822883841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BreanneThomas",0,FALSE,FALSE,NA,NA
"33","@Jaclynhill Been sick with the flu since Thursday of last week<U+0001F62B> was in the ER came out with 3 antibiotics finally f… https://t.co/FMsAy3HnlM",FALSE,0,"Jaclynhill",2019-03-07 16:03:29,TRUE,"1103681153834369025","1103687622327595008","369238299","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msvaladez4",0,FALSE,FALSE,NA,NA
"35","@Jaclynhill I only get the (real) flu once every 10 years, and it's no joke.  I just got over it. Thought I was goi… https://t.co/k1NE2PL4Uu",FALSE,0,"Jaclynhill",2019-03-07 16:03:27,TRUE,"1103681153834369025","1103687615339851776","369238299","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanderson_haley",0,FALSE,FALSE,NA,NA
"36","See you on FB Live today at 4pm ET and blend with us Live! 

You'll learn how to blend a cold and flu diffuser blen… https://t.co/YFlWuiBJWF",FALSE,0,NA,2019-03-07 16:03:20,TRUE,NA,"1103687585551929350",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aromatics_Intl",0,FALSE,FALSE,NA,NA
"38","All I know is that I better not be getting the flu and I if I do I’m going to blame it on my grandma for taking car… https://t.co/HAUvPoFPY6",FALSE,0,NA,2019-03-07 16:03:10,TRUE,NA,"1103687544192016387",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riogabi1",0,FALSE,FALSE,NA,NA
"39","Just got a message from my boss about how we can’t cough if the health inspector is in the building........ while t… https://t.co/VEcY1PqCU0",FALSE,0,NA,2019-03-07 16:03:07,TRUE,NA,"1103687528714891266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_i_ngeI",0,FALSE,FALSE,NA,NA
"41","@Hevallo I'm really gutted that I've been full of flu germs for so long I haven't been able to visit him in over a month :( Serkeftin heval",FALSE,0,"Hevallo",2019-03-07 16:02:57,FALSE,"1103629626008584192","1103687490299322369","49946953","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MeowrayBookchin",0,FALSE,FALSE,NA,NA
"42","A pharmacist who could otherwise perform her job was fired because she could not give injections (she has cerebral… https://t.co/KrmKTdOIk1",FALSE,1,NA,2019-03-07 16:02:56,TRUE,NA,"1103687485446471680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","HollyBlomberg",0,FALSE,FALSE,NA,NA
"43","Got flu and I moer se headache. Voice gone.",FALSE,0,NA,2019-03-07 16:02:55,FALSE,NA,"1103687478375051267",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I_am_Handie",0,FALSE,FALSE,NA,NA
"46","@markiplier Is it the flu again or something else?",FALSE,0,"markiplier",2019-03-07 16:02:27,FALSE,"1103686488800129026","1103687363442675712","517077573","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reggauge",0,FALSE,FALSE,NA,NA
"49","What a beautiful day to wake up with the flu",FALSE,0,NA,2019-03-07 16:02:22,FALSE,NA,"1103687343612067847",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BreMeilleur",0,FALSE,FALSE,NA,NA
"50","Local hospitals are seeing an uptick in patients with the flu. Dr. Cirino from our Infectious Disease Clinic recent… https://t.co/WnQHTVOIFp",FALSE,0,NA,2019-03-07 16:02:22,TRUE,NA,"1103687340009185283",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ahnw",0,FALSE,FALSE,NA,NA
"51","My little Maddi isn't feeling good at all..fingers crossed its not the flu — feeling concerned at Omni Medical Group https://t.co/ld8VkqGqT8",FALSE,0,NA,2019-03-07 16:02:18,FALSE,NA,"1103687326729994240",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","tink1075",0,FALSE,FALSE,NA,NA
"52","Thanks @nytopinion for ""This Is the Truth About Vaccines"" https://t.co/71iOZtUUXG And in other #BreakingNews from 2… https://t.co/R4QdB6d3cW",FALSE,0,NA,2019-03-07 16:02:12,TRUE,NA,"1103687298636439552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DBlumbergPedsID",0,FALSE,FALSE,NA,NA
"55","Pretty sure I sweated this flu out <U+0001F64C><U+0001F3FD>",FALSE,0,NA,2019-03-07 16:01:52,FALSE,NA,"1103687216830640128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","agyeihashim",0,FALSE,FALSE,NA,NA
"56","#BREAKING Health officials report a 3-year-old Columbus boy is the first local flu-associated pediatric death of th… https://t.co/xeOMNIgr36",FALSE,3,NA,2019-03-07 16:01:51,TRUE,NA,"1103687212078694401",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","10TV",3,FALSE,FALSE,NA,NA
"58","Fu death toll in Greece rises to 111, as another 20 people died in a week https://t.co/TGRvwEAE3K",FALSE,0,NA,2019-03-07 16:01:39,FALSE,NA,"1103687161109532673",NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","keeptalkingGR",1,FALSE,FALSE,NA,NA
"59","If you’ve written to me in the past few days and I haven’t gotten back to you, please know I have the flu again, an… https://t.co/wtNFy7Xvgb",FALSE,0,NA,2019-03-07 16:01:31,TRUE,NA,"1103687129312514050",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickiZevola",0,FALSE,FALSE,NA,NA
"60","Diet may be a key factor for Influenza A virus exposure in wild African mammals https://t.co/Vy5TJhpp53 https://t.co/qDBJO74sYY",FALSE,0,NA,2019-03-07 16:01:21,FALSE,NA,"1103687085695864832",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","b3coki",0,FALSE,FALSE,NA,NA
"61","Pneumonia is a common &amp; very serious lung infection that can affect people of all ages, particularly during cold &amp;… https://t.co/93DEOcYDbF",FALSE,0,NA,2019-03-07 16:01:19,TRUE,NA,"1103687077458137088",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","rediclinic",0,FALSE,FALSE,NA,NA
"62","1942 &gt; espresso &gt; wheatgrass &gt; turmeric &gt; flu &gt; fireball &gt; getting shot &gt;&gt;&gt;&gt;&gt; ACV",FALSE,1,"keeksthescammer",2019-03-07 16:01:16,FALSE,"1103686448434147328","1103687065550520320","331873542","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keeksthescammer",0,FALSE,FALSE,NA,NA
"63","I hate being sick and I hate the doctor's office.... been here for 2.5 hours supposed tho have the flu but now I'm… https://t.co/YPg8dOnCmJ",FALSE,0,NA,2019-03-07 16:01:14,TRUE,NA,"1103687055027113984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fishman_d33",0,FALSE,FALSE,NA,NA
"66","faded off this alkaselzter cold n flu <U+0001F92A><U+0001F61C><U+0001F624><U+0001F440><U+0001F4AF><U+0001F60C>",FALSE,1,NA,2019-03-07 16:01:07,FALSE,NA,"1103687028762390529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaylee_vetrano",0,FALSE,FALSE,NA,NA
"68","@neil_jos10 For someone who has the flu, you seem to be running fine",FALSE,0,"neil_jos10",2019-03-07 16:01:04,FALSE,"1103644153345437696","1103687015508389888","916105639012782080","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DWymack",0,FALSE,FALSE,NA,NA
"70","We’re in this together girl..currently dying in my bed with the flu <U+0001F637> https://t.co/vJMGBmTKii",FALSE,0,NA,2019-03-07 16:01:02,FALSE,NA,"1103687005442138114",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ashhhlizz",0,FALSE,FALSE,NA,NA
"71","We need your vote to advance in #statmadness, a national competition to name the year's most innovative scientific… https://t.co/8pGo0x1mi3",FALSE,0,NA,2019-03-07 16:01:01,TRUE,NA,"1103687002808090624",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","GSU_Research",0,FALSE,FALSE,NA,NA
"73","If left untreated, strep could cause serious problems. https://t.co/MNUEnpsU2W",FALSE,0,NA,2019-03-07 16:00:53,FALSE,NA,"1103686968418942976",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FEBBRRY",0,FALSE,FALSE,NA,NA
"74","Interesting finding of a novel influenza A(H1N2) seasonal reassortant highlighting the importance of molecular surv… https://t.co/7D3mxNTjXG",FALSE,0,NA,2019-03-07 16:00:43,TRUE,NA,"1103686926874365953",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","EANBoard",0,FALSE,FALSE,NA,NA
"76","Tell me why I’ve been sick with the flu and my manager called me telling me if I don’t find someone to cover I gott… https://t.co/jd5wyQKa9p",FALSE,1,NA,2019-03-07 16:00:37,TRUE,NA,"1103686902337716225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KerrAubree",0,FALSE,FALSE,NA,NA
"78","RT QualityInsights: Looking for the latest #flu season data? It's available right at your fingertips:… https://t.co/O6DTY2R09x",FALSE,0,NA,2019-03-07 16:00:36,TRUE,NA,"1103686895463206916",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Qual_Insights",0,FALSE,FALSE,NA,NA
"79","This flu really kicked my ass this time, wtf",FALSE,0,NA,2019-03-07 16:00:35,FALSE,NA,"1103686894116777984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paigejanelle",0,FALSE,FALSE,NA,NA
"80","Looking for the latest #flu season data? It's available right at your fingertips: https://t.co/Gt5fbNHJJq https://t.co/kqWDvyRbd2",FALSE,0,NA,2019-03-07 16:00:31,FALSE,NA,"1103686878279204867",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","QualityInsights",0,FALSE,FALSE,NA,NA
"81","Goin Live fam !<U+0001F525><U+0001F534>

I finally feel much better! NO MORE DUGSHIT FLU ! <U+0001F923>

#PositivityAndLove
#Fortnite… https://t.co/tfTloK6tfk",FALSE,7,NA,2019-03-07 16:00:28,TRUE,NA,"1103686865314611200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lordlbn",5,FALSE,FALSE,NA,NA
"82","If left untreated, strep could cause serious problems. https://t.co/F8wjOpYdPm",FALSE,0,NA,2019-03-07 16:00:23,FALSE,NA,"1103686843818803202",NA,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","goodhealth",0,FALSE,FALSE,NA,NA
"83","So far this #flu season, 45 people have died of influenza-related issues in San Diego County… https://t.co/Y49uUFiqpC",FALSE,0,NA,2019-03-07 16:00:20,TRUE,NA,"1103686831588159488",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","NFIDvaccines",0,FALSE,FALSE,NA,NA
"84","Flu Research Once Banned Because It Was Too Dangerous Is Set To Resume https://t.co/EqJk1hnSt2 via @YouTube",FALSE,0,NA,2019-03-07 16:00:20,FALSE,NA,"1103686831273533441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","choff83005",0,FALSE,FALSE,NA,NA
"85","<U+0001F9EC><U+0001F469><U+200D><U+0001F9B3> <U+0001F489>Flu shots are not as effective in the elderly. 

Professor Jacques Banchereau will study the genetic process… https://t.co/uz8RoMC8Tk",FALSE,2,NA,2019-03-07 16:00:14,TRUE,NA,"1103686803171741696",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jacksonlab",0,FALSE,FALSE,NA,NA
"86","Read yesterday’s #biomerieuxconnection article for the latest statistics on this year’s #flu season. https://t.co/HomYn9OXSw",FALSE,0,NA,2019-03-07 16:00:09,FALSE,NA,"1103686783278215168",NA,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","biomerieux_inc",0,FALSE,FALSE,NA,NA
"88","What medicine is best to take for a headache? Stuffy nose? Dry cough? https://t.co/UmS8LB2cQr",FALSE,0,NA,2019-03-07 16:00:04,FALSE,NA,"1103686762621272065",NA,"<a href=""https://www.spredfast.com"" rel=""nofollow"">Spredfast</a>","UPMCMyHealth",0,FALSE,FALSE,NA,NA
"89","While we await the results to see if we have the flu or not I just wanted you all to be happy you made it to Thursd… https://t.co/peZBb0MeEv",FALSE,0,NA,2019-03-07 16:00:03,TRUE,NA,"1103686757537574912",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MolliePitrone",0,FALSE,FALSE,"-104.9930804","39.5488954"
"90","Flu Widespread in California, with 265 Reported Deaths
HeatMap Column 4&gt; https://t.co/RdrgMFQLwS
 #FluDeaths… https://t.co/p28p88NGsE",FALSE,0,NA,2019-03-07 16:00:02,TRUE,NA,"1103686755297878016",NA,"<a href=""http://www.futuredanger.com/"" rel=""nofollow"">Unveilings FutureDanger App</a>","FD_Unveilings",0,FALSE,FALSE,NA,NA
"91","Why not make the most of your ***Flu Practical Skills Training*** provided by our partner @ECG_MK by offering a ful… https://t.co/Ujuw9Ws2F4",FALSE,0,NA,2019-03-07 16:00:01,TRUE,NA,"1103686750386470912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pharmadoctoruk",0,FALSE,FALSE,NA,NA
"92","Have you checked out the Hot Topics section of our community page yet? We have all the latest information including… https://t.co/bQu94F0cka",FALSE,0,NA,2019-03-07 16:00:00,TRUE,NA,"1103686745659527169",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LMCBuyingGroup",0,FALSE,FALSE,NA,NA
"97","@markiplier STOP BEING SICK CHILD, ITS FLU SEASON",FALSE,24,"markiplier",2019-03-07 15:59:42,FALSE,"1103686488800129026","1103686672749862913","517077573","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaScareLit",0,FALSE,FALSE,NA,NA
"98","@realprinceblue @dweise @RealMamaEagle I thought the flu had you knocked tf out. Lol.",FALSE,2,"realprinceblue",2019-03-07 15:59:41,FALSE,"1103686474552262656","1103686667385430017","443213857","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Barnold1993",0,FALSE,FALSE,NA,NA
"99","@markiplier I have the flu",FALSE,0,"markiplier",2019-03-07 15:59:40,FALSE,"1103686488800129026","1103686662985580546","517077573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dat_Asian123",0,FALSE,FALSE,NA,NA
"100","@markiplier Maybe flu vaccinations next year?",FALSE,0,"markiplier",2019-03-07 15:59:40,FALSE,"1103686488800129026","1103686662276726784","517077573","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thaily",0,FALSE,FALSE,NA,NA
"102","On the principle of a vaccine. The flu vaccine for example. Periodically. A mental health injection should work. It… https://t.co/uQt02fZ9pr",FALSE,0,NA,2019-03-07 15:59:36,TRUE,NA,"1103686644635484160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","simon_margetts",0,FALSE,FALSE,NA,NA
"103","@markiplier me too currently have the flu <U+0001F605>",FALSE,3,"markiplier",2019-03-07 15:59:29,FALSE,"1103686488800129026","1103686614419730432","517077573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harly_fitch31",0,FALSE,FALSE,NA,NA
"105","@markiplier I have the flu :)",FALSE,0,"markiplier",2019-03-07 15:59:25,FALSE,"1103686488800129026","1103686601165680640","517077573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","icedspaced",0,FALSE,FALSE,NA,NA
"106","if i have the flu. i’m telling u rn i’m gonna fucking CRY.",FALSE,1,NA,2019-03-07 15:59:23,FALSE,NA,"1103686591699128320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","honeynuht",0,FALSE,FALSE,NA,NA
"107","The Top 20 Natural Remedies for Cold and Flu by @chriskresser https://t.co/eKm6QlTscq",FALSE,0,NA,2019-03-07 15:59:23,FALSE,NA,"1103686590361157635",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mostrolenk",0,FALSE,FALSE,NA,NA
"108","This will be assigned to Blorch, home of the flu and a high fever.",FALSE,0,NA,2019-03-07 15:59:17,FALSE,NA,"1103686564830425088",NA,"<a href=""http://stevencrewniverse.tumblr.com"" rel=""nofollow"">RoseGem</a>","lvoryBrony",0,FALSE,FALSE,NA,NA
"112","@hsv_Laika I’m still recovering from the Flu so I won’t be there tonight <U+0001F62D><U+0001F62D><U+0001F62D>",FALSE,0,"hsv_Laika",2019-03-07 15:59:07,FALSE,"1103477517925732353","1103686522946179073","1092991490186465285","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurasdunaway",0,FALSE,FALSE,NA,NA
"116","Utah mom says healthy 19-year-old son died from flu shot - NY Daily News https://t.co/fW7EJdJzui",FALSE,0,NA,2019-03-07 15:58:58,FALSE,NA,"1103686485549690882",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Montrealpage",0,FALSE,FALSE,NA,NA
"117","Catherine Griffiths talking about People and Organisational Committee highlights. The trust has vaccinated 81% of s… https://t.co/rldbbVBzwJ",FALSE,0,NA,2019-03-07 15:58:57,TRUE,NA,"1103686482332733440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WalsallHcareNHS",0,FALSE,FALSE,NA,NA
"118","Working from home with a stinking cold/flu thing and my boys Sherlock and Slash <U+0001F923> https://t.co/e6yiLRd2Ed",FALSE,2,NA,2019-03-07 15:58:51,FALSE,NA,"1103686455690444803",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fairy_sherlock",0,FALSE,FALSE,NA,NA
"119","@ckasdjke i have all the symptoms of the flu, but i have a sinus infection :’) feel better soon.",FALSE,0,"ckasdjke",2019-03-07 15:58:40,FALSE,"1103677358878412801","1103686410513588224","1085709997147852800","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ladyspydr",0,FALSE,FALSE,NA,NA
"123","Why cant the cure for the flu be a goid bottle of red wine.  Where are the scientists.  Get on it",FALSE,0,NA,2019-03-07 15:58:27,FALSE,NA,"1103686358319726592",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Realtor_Matt",0,FALSE,FALSE,NA,NA
"124","being scared of needles is literally the worst reason you could give me for not getting your flu shot.

well, Sarah… https://t.co/KYJF98Awy1",FALSE,0,NA,2019-03-07 15:58:25,TRUE,NA,"1103686347951243265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melodramira",0,FALSE,FALSE,NA,NA
"129","Go for a cervical screening test and get a free flu jab...lucky me!!",FALSE,0,NA,2019-03-07 15:57:54,FALSE,NA,"1103686217177145345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","merrymunky",0,FALSE,FALSE,NA,NA
"130","I’ve completely forgotten how awful and sucky the flu is. 
This blows man..",FALSE,0,NA,2019-03-07 15:57:41,FALSE,NA,"1103686164043698176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RoyalAnnaMariee",0,FALSE,FALSE,NA,NA
"133","How long until this fucking flu is gone <U+0001F637>",FALSE,0,NA,2019-03-07 15:57:29,FALSE,NA,"1103686113934209024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terra99terra",0,FALSE,FALSE,NA,NA
"135","@jbmsoccerdad While she’s preparing it I hope she spits in it and gives you the flu!",FALSE,0,"jbmsoccerdad",2019-03-07 15:57:20,FALSE,"1103081653101056006","1103686076068188160","963230940888670208","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VictoriaGo",0,FALSE,FALSE,NA,NA
"137","@Jaclynhill I hope you got the flu shot. Then it shouldn’t be as bad or last as long. Feel better soon<U+0001F64F><U+0001F3FC><U+0001F618>",FALSE,0,"Jaclynhill",2019-03-07 15:57:16,FALSE,"1103681153834369025","1103686059156750337","369238299","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SusanSeverson3",0,FALSE,FALSE,NA,NA
"142","This flu is the Shits",FALSE,0,NA,2019-03-07 15:57:06,FALSE,NA,"1103686014806249472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MCZdance",0,FALSE,FALSE,NA,NA
